player_id,battle_id,match_res,gamemode,gametip,start_time,character,K/D/A,money,CS,damage,view
Sigolon,,敗,一般對戰,40min 57s,2021-12-21 22:49:31,汎,14/8/3,$19.5k,194(67),34165,16(3)
Sigolon,,勝,一般對戰,32min 32s,2021-12-20 23:13:35,汎,17/7/4,$18k,187(12),35076,10(2)
Sigolon,,勝,一般對戰,50min 57s,2021-12-20 17:25:56,姍娜,10/8/31,$21.2k,55(24),52675,31(8)
Sigolon,,勝,一般對戰,20min 29s,2021-12-20 14:30:32,汎,9/4/2,$11.3k,142(16),14067,6(0)
Sigolon,,勝,一般對戰,31min 43s,2021-12-20 13:54:50,汎,7/11/9,$13k,155(44),17832,9(2)
Sigolon,,敗,一般對戰,28min 38s,2021-12-19 20:06:45,汎,11/12/1,$13.9k,174(12),17806,9(0)
Sigolon,,敗,一般對戰,24min 43s,2021-12-19 19:36:54,犽宿,2/8/0,$8.1k,34(111),7966,4(0)
Sigolon,,敗,一般對戰,33min 07s,2021-12-19 15:33:30,汎,2/14/1,$9.4k,152(17),19302,8(1)
Sigolon,,勝,一般對戰,23min 40s,2021-12-19 15:05:27,汎,4/4/1,$9.9k,176(19),7295,6(1)
Sigolon,,勝,一般對戰,28min 28s,2021-12-18 23:05:16,姍娜,11/4/14,$13k,137(12),18063,8(0)
Sigolon,,勝,一般對戰,36min 00s,2021-12-18 19:59:09,凱特琳,17/7/11,$21.7k,270(26),42918,10(1)
Sigolon,,勝,一般對戰,03min 28s,2021-12-18 19:49:33,凱特琳,0/0/1,$1.2k,16(0),798,1(0)
Sigolon,,勝,一般對戰,44min 08s,2021-12-18 02:40:50,凱特琳,8/8/12,$19.8k,288(33),34554,14(9)
Sigolon,,勝,一般對戰,44min 33s,2021-12-17 23:42:36,汎,21/11/7,$25k,234(28),57935,14(0)
Sigolon,,敗,一般對戰,24min 50s,2021-12-17 23:13:41,汎,5/9/2,$9.9k,162(5),12577,7(0)
Sigolon,,勝,一般對戰,38min 23s,2021-12-17 00:58:44,汎,12/12/4,$17.1k,162(65),28402,9(5)
